,Genre,Age,Annual Income (k$),Spending Score (1-100),Propensity to Spend,Labels
71,0,47,49,42,0.86,6
72,0,60,50,49,0.98,6
73,0,60,50,56,1.12,6
74,1,59,54,47,0.87,0
75,1,26,54,54,1.0,1
76,0,45,54,53,0.98,6
77,1,40,54,48,0.89,0
78,0,23,54,52,0.96,1
79,0,49,54,42,0.78,6
80,1,57,54,51,0.94,0
81,1,38,54,55,1.02,0
82,1,67,54,41,0.76,0
83,0,46,54,44,0.81,6
84,0,21,54,57,1.06,1
85,1,48,54,46,0.85,0
86,0,55,57,58,1.02,6
87,0,22,57,55,0.96,1
88,0,34,58,60,1.03,1
89,0,50,58,46,0.79,6
90,0,68,59,55,0.93,6
91,1,18,59,41,0.69,1
92,1,48,60,49,0.82,0
93,0,40,60,40,0.67,6
94,0,32,60,42,0.7,1
95,1,24,60,52,0.87,1
96,0,47,60,47,0.78,6
97,0,27,60,50,0.83,1
98,1,48,61,42,0.69,0
99,1,20,61,49,0.8,1
100,0,23,62,41,0.66,1
101,0,49,62,48,0.77,6
102,1,67,62,59,0.95,0
103,1,26,62,55,0.89,1
104,1,49,62,56,0.9,0
105,0,21,62,42,0.68,1
106,0,66,63,50,0.79,6
107,1,54,63,46,0.73,0
108,1,68,63,43,0.68,0
109,1,66,63,48,0.76,0
110,1,65,63,52,0.83,0
111,0,19,63,54,0.86,1
112,0,38,64,42,0.66,1
113,1,19,64,46,0.72,1
114,0,18,65,48,0.74,1
115,0,19,65,50,0.77,1
116,0,63,65,43,0.66,6
117,0,49,65,59,0.91,6
118,0,51,67,43,0.64,6
119,0,50,67,57,0.85,6
120,1,27,67,56,0.84,1
121,0,38,67,40,0.6,1
122,0,40,69,58,0.84,1
123,1,39,69,91,1.32,3
124,0,23,70,29,0.41,1
125,0,31,70,77,1.1,3
126,1,43,71,35,0.49,0
127,1,40,71,95,1.34,3
128,1,59,71,11,0.15,0
129,1,38,71,75,1.06,3
130,1,47,71,9,0.13,4
131,1,39,71,75,1.06,3
132,0,25,72,34,0.47,1
133,0,31,72,71,0.99,3
134,1,20,73,5,0.07,4
135,0,29,73,88,1.21,3
136,0,44,73,7,0.1,4
137,1,32,73,73,1.0,3
138,1,19,74,10,0.14,4
139,0,35,74,72,0.97,3
140,0,57,75,5,0.07,4
141,1,32,75,93,1.24,3
142,0,28,76,40,0.53,1
143,0,32,76,87,1.14,3
144,1,25,77,12,0.16,4
145,1,28,77,97,1.26,3
146,1,48,77,36,0.47,0
147,0,32,77,74,0.96,3
148,0,34,78,22,0.28,4
149,1,34,78,90,1.15,3
150,1,43,78,17,0.22,4
151,1,39,78,88,1.13,3
152,0,44,78,20,0.26,4
153,0,38,78,76,0.97,3
154,0,47,78,16,0.21,4
155,0,27,78,89,1.14,3
156,1,37,78,1,0.01,4
157,0,30,78,78,1.0,3
158,1,34,78,1,0.01,4
159,0,30,78,73,0.94,3
160,0,56,79,35,0.44,6
161,0,29,79,83,1.05,3
162,1,19,81,5,0.06,4
163,0,31,81,93,1.15,3
164,1,50,85,26,0.31,4
165,0,36,85,75,0.88,3
166,1,42,86,20,0.23,4
167,0,33,86,95,1.1,3
168,0,36,87,27,0.31,4
169,1,32,87,63,0.72,3
170,1,40,87,13,0.15,4
171,1,28,87,75,0.86,3
172,1,36,87,10,0.11,4
173,1,36,87,92,1.06,3
174,0,52,88,13,0.15,4
175,0,30,88,86,0.98,3
176,1,58,88,15,0.17,4
177,1,27,88,69,0.78,3
178,1,59,93,14,0.15,4
179,1,35,93,90,0.97,3
180,0,37,97,32,0.33,4
181,0,32,97,86,0.89,3
182,1,46,98,15,0.15,4
183,0,29,98,88,0.9,3
184,0,41,99,39,0.39,4
185,1,30,99,97,0.98,3
186,0,54,101,24,0.24,4
187,1,28,101,68,0.67,3
188,0,41,103,17,0.17,4
189,0,36,103,85,0.83,3
190,0,34,103,23,0.22,4
191,0,32,103,69,0.67,3
192,1,33,113,8,0.07,4
193,0,38,113,91,0.81,3
194,0,47,120,16,0.13,4
195,0,35,120,79,0.66,3
196,0,45,126,28,0.22,4
197,1,32,126,74,0.59,3
198,1,32,137,18,0.13,4
199,1,30,137,83,0.61,3
